,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.028225806451612902,0.11711711711711711,1.0
2,0.04032258064516129,0.27627627627627627,0.99
3,0.04838709677419355,0.4084084084084084,0.98
4,0.06451612903225806,0.5345345345345346,0.97
5,0.07258064516129033,0.6276276276276276,0.96
6,0.07661290322580645,0.7027027027027027,0.95
7,0.08064516129032258,0.7747747747747747,0.94
8,0.0967741935483871,0.8258258258258259,0.93
9,0.0967741935483871,0.8768768768768769,0.92
10,0.10080645161290322,0.9069069069069069,0.91
11,0.10483870967741936,0.933933933933934,0.9
12,0.10483870967741936,0.9579579579579579,0.89
13,0.10887096774193548,0.960960960960961,0.88
14,0.11290322580645161,0.96996996996997,0.87
15,0.11290322580645161,0.975975975975976,0.86
16,0.11290322580645161,0.978978978978979,0.85
17,0.11290322580645161,0.990990990990991,0.81
18,0.11693548387096774,0.996996996996997,0.8
19,0.11693548387096774,1.0,0.77
20,0.13709677419354838,1.0,0.08
21,0.14919354838709678,1.0,0.07
22,0.15725806451612903,1.0,0.05
23,0.1774193548387097,1.0,0.04
24,0.21774193548387097,1.0,0.03
25,0.29435483870967744,1.0,0.02
26,0.4596774193548387,1.0,0.01
27,1.0,1.0,0.0
