,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.016129032258064516,0.12012012012012012,1.0
2,0.028225806451612902,0.21621621621621623,0.99
3,0.036290322580645164,0.3123123123123123,0.98
4,0.036290322580645164,0.3813813813813814,0.97
5,0.036290322580645164,0.45645645645645644,0.96
6,0.04435483870967742,0.5255255255255256,0.95
7,0.04838709677419355,0.5885885885885885,0.94
8,0.06451612903225806,0.6276276276276276,0.93
9,0.07258064516129033,0.6546546546546547,0.92
10,0.07258064516129033,0.6996996996996997,0.91
11,0.07661290322580645,0.7357357357357357,0.9
12,0.07661290322580645,0.7507507507507507,0.89
13,0.0846774193548387,0.7957957957957958,0.88
14,0.09274193548387097,0.8258258258258259,0.87
15,0.0967741935483871,0.8318318318318318,0.86
16,0.10080645161290322,0.8528528528528528,0.85
17,0.10080645161290322,0.8648648648648649,0.84
18,0.10080645161290322,0.8738738738738738,0.83
19,0.10080645161290322,0.8888888888888888,0.82
20,0.10080645161290322,0.9129129129129129,0.81
21,0.10080645161290322,0.918918918918919,0.8
22,0.10080645161290322,0.9219219219219219,0.78
23,0.10080645161290322,0.933933933933934,0.77
24,0.10080645161290322,0.948948948948949,0.76
25,0.10080645161290322,0.9519519519519519,0.75
26,0.10483870967741936,0.954954954954955,0.73
27,0.10483870967741936,0.9579579579579579,0.72
28,0.10483870967741936,0.9669669669669669,0.71
29,0.10483870967741936,0.972972972972973,0.68
30,0.10483870967741936,0.993993993993994,0.51
31,0.10887096774193548,0.993993993993994,0.46
32,0.10887096774193548,0.996996996996997,0.45
33,0.11290322580645161,0.996996996996997,0.32
34,0.11290322580645161,1.0,0.22
35,0.125,1.0,0.16
36,0.13306451612903225,1.0,0.11
37,0.14112903225806453,1.0,0.06
38,0.14919354838709678,1.0,0.04
39,0.16129032258064516,1.0,0.03
40,0.16532258064516128,1.0,0.02
41,0.2056451612903226,1.0,0.01
42,1.0,1.0,0.0
