,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.004032258064516129,0.17117117117117117,1.0
2,0.020161290322580645,0.29429429429429427,0.99
3,0.04435483870967742,0.37537537537537535,0.98
4,0.05241935483870968,0.45645645645645644,0.97
5,0.05241935483870968,0.5195195195195195,0.96
6,0.06451612903225806,0.5945945945945946,0.95
7,0.07661290322580645,0.6486486486486487,0.94
8,0.07661290322580645,0.6936936936936937,0.93
9,0.0846774193548387,0.7387387387387387,0.92
10,0.08870967741935484,0.7657657657657657,0.91
11,0.09274193548387097,0.8108108108108109,0.9
12,0.09274193548387097,0.8408408408408409,0.88
13,0.09274193548387097,0.8498498498498499,0.87
14,0.09274193548387097,0.8768768768768769,0.86
15,0.0967741935483871,0.9099099099099099,0.85
16,0.10080645161290322,0.9219219219219219,0.84
17,0.10080645161290322,0.924924924924925,0.83
18,0.10483870967741936,0.93993993993994,0.82
19,0.10483870967741936,0.9519519519519519,0.8
20,0.11290322580645161,0.9579579579579579,0.79
21,0.11693548387096774,0.960960960960961,0.78
22,0.11693548387096774,0.96996996996997,0.76
23,0.11693548387096774,0.975975975975976,0.74
24,0.11693548387096774,0.984984984984985,0.72
25,0.11693548387096774,0.987987987987988,0.69
26,0.11693548387096774,0.993993993993994,0.68
27,0.11693548387096774,1.0,0.47
28,0.12903225806451613,1.0,0.09
29,0.13709677419354838,1.0,0.07
30,0.14919354838709678,1.0,0.04
31,0.1693548387096774,1.0,0.03
32,0.1975806451612903,1.0,0.02
33,0.2862903225806452,1.0,0.01
34,1.0,1.0,0.0
